Block,Weight,WeightFactor,HybridEnergy,ENumer,EDenom,ETotal,E1Body,E2Body
0,1.0000000000000000e+03,1.0000000000000000e+03,0.0000000000000000e+00,-1.1113497141086732e+03,1.0000000000000000e+03,-1.1113497141086732e+00,-1.7657888081789526e+00,6.5443909407027878e-01
1,1.0021061878574005e+03,1.0000000000000000e+03,-4.2096490548178261e-01,-1.1140542455790358e+03,1.0021061878574005e+03,-1.1117127696426974e+00,-1.7657888081789519e+00,6.5407603853625462e-01
2,1.0022039469378317e+03,1.0000000000000000e+03,-4.4045043237904791e-01,-1.1145082472282788e+03,1.0022039469378317e+03,-1.1120573318769953e+00,-1.7657888081789519e+00,6.5373147630195638e-01
3,1.0021809010427365e+03,1.0000000000000000e+03,-4.3585960073751867e-01,-1.1148205948871550e+03,1.0021809010427365e+03,-1.1123945724042641e+00,-1.7657888081789517e+00,6.5339423577468758e-01
4,1.0021703134596992e+03,1.0000000000000000e+03,-4.3378948914750159e-01,-1.1150804015014862e+03,1.0021703134596992e+03,-1.1126655684421523e+00,-1.7657888081789515e+00,6.5312323973679942e-01
5,9.9999999999999989e+02,1.0021711255968828e+03,-4.3391919327241341e-01,-1.1129686116031735e+03,9.9999999999999989e+02,-1.1129686116031736e+00,-1.7657888081789517e+00,6.5282019657577828e-01
6,9.9999287067709861e+02,1.0021711255968828e+03,-4.3250359314083864e-01,-1.1133686101799854e+03,9.9999287067709861e+02,-1.1133765478009054e+00,-1.7657888081789519e+00,6.5241226037804623e-01
7,1.0000220341715085e+03,1.0021711255968828e+03,-4.3834221730568018e-01,-1.1137350602142367e+03,1.0000220341715085e+03,-1.1137105205256168e+00,-1.7657888081789521e+00,6.5207828765333531e-01
8,9.9998253824950143e+02,1.0021711255968828e+03,-4.3046779675345564e-01,-1.1139256005674697e+03,9.9998253824950143e+02,-1.1139450519980370e+00,-1.7657888081789521e+00,6.5184375618091506e-01
9,9.9996979624035544e+02,1.0021711255968828e+03,-4.2794679376395195e-01,-1.1142494397200012e+03,9.9996979624035544e+02,-1.1142830952587863e+00,-1.7657888081789517e+00,6.5150571292016535e-01
10,1.0000000000000000e+03,1.0000155640013028e+03,-4.3711638215364401e-01,-1.1145337538186441e+03,1.0000000000000000e+03,-1.1145337538186442e+00,-1.7657888081789517e+00,6.5125505436030751e-01
11,9.9990826660971163e+02,1.0000155640013028e+03,-4.1881926579523038e-01,-1.1148625619838690e+03,9.9990826660971163e+02,-1.1149648414888311e+00,-1.7657888081789519e+00,6.5082396669012077e-01
12,1.0000284222216392e+03,1.0000155640013028e+03,-4.4287112419916030e-01,-1.1153003583730238e+03,1.0000284222216392e+03,-1.1152686599599833e+00,-1.7657888081789519e+00,6.5052014821896897e-01
